id,latin,family,category,origin,climate,common,tempmax_celsius,tempmin_celsius,ideallight,toleratedlight,watering,use,normalized_light_need,supports_direct_sun,supports_diffused_light,supports_bright_light,light_flexibility,indoor_use_score,temp_context_score,plant_group,direct_sun_min_h_day,direct_sun_max_h_day,preferred_shadow_min_h_day,preferred_shadow_max_h_day,lux_min,lux_max,humidity_min_percent,humidity_max_percent,soil_moisture_class_0_4,drought_tolerance_0_1,sun_center_h_day,sun_range_h_day,shadow_center_h_day,shadow_range_h_day,lux_center,lux_range,humidity_center_percent,humidity_range_percent,temp_preferred_min_c,temp_preferred_max_c,temp_preferred_center_c,temp_preferred_range_c,plant_variety_cluster,plant_cluster_label,plant_light_index,bridge_cluster_id,bridge_cluster_label
55,Alocasias X Amazonica,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,15,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
56,Cissus rhombifolia,Vitaceae,Hanging,Central America & South America,Tropical,Grape Ivy,28,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,28,19.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
57,Anthurium schlechtendalii,Araceae,Anthurium,Costa rica,Tropical,Bird nest Anthurium; Cabbage Anthurium,28,18,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Colors / Forms; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
58,Chamaedorea metallica,Arecaceae,Palm,Mexico,Tropical,Miniature fishtail; Steel palm,30,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
59,Aspidistra elatior Minor,Liliaceae,Foliage plant,Japan,Subtropical,Cast iron plant; Aspidistra Milky Way,28,8,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,bright_indirect,0,1,1,1,2,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,8,28,18.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
60,Calathea ornata Rosea lineata,Marantaceae,Foliage plant,Cultivar,Tropical,Stiped calathea,25,10,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,bright_indirect,0,1,1,1,2,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,25,17.5,15,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
61,Asplenium nidus,Aspleniaceae,Fern,Asia,Tropical humid,Birdnest fern,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,4.0,0.1,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,15,28,21.5,13,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
62,Anthurium hookeri,Araceae,Anthurium,Guyana,Tropical humid,Bird nest Anthurium; Cabbage Anthurium,28,18,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
63,Chlorophytum comosum,Liliaceae,Hanging,Central Africa,Tropical to subtropical,Spider plant,28,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,28,16.5,23,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
64,Didymochlaena truncatula,Dryopteridaceae,Fern,South America,Tropical humid,Tree Maindenhair fern,30,5,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Tertiary,high_light,1,1,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,60.0,90.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,75.0,30.0,5,30,17.5,25,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
65,Dieffenbachia,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Tropic Mary Ann,28,12,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,bright_indirect,0,1,1,1,2,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
66,Dieffenbachia,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Star Bright,28,12,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
67,Dracaena marginata,Liliaceae,Dracaena,Cultivar,Tropical,Madagascar dragon tree; Tricolor,28,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,28,19.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
68,Dracaena fragrans Massangeana,Liliaceae,Dracaena,Cultivar,Tropical,Cornstalk plant,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
69,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Janet Craig,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
70,Cryptanthus Rose Eliane,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,28,10,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,Table top; Primary,high_light,1,0,1,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,28,19.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
71,Dracaena reflexa,Liliaceae,Dracaena,India,Tropical,Yellow Malaysian Dracaena; Song of India,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
72,Dieffenbachia maculata,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Carina,28,12,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,bright_indirect,0,1,1,1,2,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
73,Dracaena reflexa,Liliaceae,Dracaena,Cultivar,Tropical,Malaysian Dracaena; Song of Jamaica,30,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
74,Cycas revoluta,Cycadaceae,Palm,Japan,Subtropical,Sago palm; King sago,30,8,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,high_light,1,0,0,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.0,0.45,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,8,30,19.0,22,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
75,Crassula argentea,Crasssulaceae,Cactus And Succulent,South Africa,Subtropical arid,Jade Plant,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
76,Ctenanthe lubbersiana,Marantaceae,Foliage plant,Brazil,Tropical,Phrynium,25,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,1,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,25,18.5,13,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
77,Dracaena reflexa,Liliaceae,Dracaena,Madagascar,Tropical,Malaysian Dracaena,30,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
78,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Striped Dracaena; Gold Star,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
79,Cyrtomium falcatum,Dryopteridaceae,Fern,Asia,Subtropical,Holly-fern,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Ground cover,shade_tolerant,0,1,1,1,2,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,5,30,17.5,25,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
80,Dracaena deremensis,Liliaceae,Dracaena,Africa,Tropical,Dwarf bouquet; Calypso Queen; Janet Craig Compacta,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
81,Davallia trichomannoides,Davalliaceae,Fern,Canaries,Tropical,Rabbits foot; Squirrels foot,25,10,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Potted plant,shade_tolerant,0,1,1,1,1,1,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,3.0,0.45,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,10,25,17.5,15,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
82,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Lisa Dracaena; Lisa,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
83,Dracaena marginata,Liliaceae,Dracaena,Madagascar,Tropical,Madagascar dragon tree,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
84,Dracaena deremensis,Liliaceae,Dracaena,Africa,Tropical,Striped Dracaena; Warneckei,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
85,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Striped Dracaena; Lemon Lime,30,10,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
86,Dieffenbachia maculata,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Camille,28,12,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,bright_indirect,0,1,1,1,2,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
87,Dieffenbachia amoena,Araceae,Dieffenbachia,Cultivar,Tropical,Dumcane; Tropic Snow,28,12,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
88,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Tineke,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Table top; Tertiary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
89,Dypsis lutescens,Arecaceae,Palm,Madagascar,Tropical,Areca palm; Butterfly palm,28,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,28,19.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
90,Epiphyllum,Cactaceae,Cactus And Succulent,Hybrid,Tropical,Orchid cactus,32,5,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,high_light,1,0,1,1,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,32,18.5,27,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
91,Echinocactus grusonii,Cactaceae,Cactus And Succulent,Central Mexico,Arid Tropical,Golden Barrel,40,5,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,40,22.5,35,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
92,Euphorbia milii,Euphorbiaceae,Cactus And Succulent,Madagascar,Arid Tropical,Christ thorn; Crown of thorns,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Table top; Tertiary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
93,Epipremnum aureum,Araceae,Hanging,Cultivar,Tropical,White Pothos; Marble Queen,30,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
94,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Guzmania Sunnytime,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
95,Ficus maclellandii,Moraceae,Ficus,Cultivar,Tropical,Willow fig tree; Amstel King,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
96,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Guzmania Empire,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
97,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
98,Fatsia japonica,Araliaceae,Aralia,Japan,Subtropical,Japanese Aralia,28,8,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Table top; Potted plant,high_light,1,0,1,1,2,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,8,28,18.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
99,Euphorbia ammack,Euphorbiaceae,Cactus And Succulent,Africa,Arid Tropical,Variegated Euphorbia,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
100,Ficus pumila,Moraceae,Ficus,Cultivar,Tropical,Creeping fig; Curl,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Hanging; Ground cover,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
101,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Claret,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
102,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Robusta,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
103,Hedera canariensis,Araliaceae,Hanging,Canaries,Subtropical,Algerian ivy; Montgomery ivy,30,5,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,5,30,17.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
104,Epipremnum aureum,Araceae,Hanging,South Pacific,Tropical,Golden Pothos,30,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
105,Ficus lyrata,Moraceae,Ficus,Ouest Africa,Tropical,Fidleleaf fig,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
106,Euphorbia ingens,Euphorbiaceae,Cactus And Succulent,South Africa,Arid Tropical,Giant Candelabra tree,35,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
107,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig; Monique,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
108,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Mariposa,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
109,Ficus maclellandii Alii,Moraceae,Ficus,Cultivar,Tropical,Willow Ficus,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
110,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Marjan,30,10,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,30,20.0,20,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
111,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig; Midnight,30,10,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,10,30,20.0,20,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
